,CIK,Company Name,Date Filed,Filename,Form Type,URL,attriburtes,values
39,795422,FIDELITY ADVISOR SERIES II,2003-07-03,edgar/data/795422/0000795422-03-000025.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/795422/0000795422-03-000025.txt,CDS Text,"Receive from Morgan Stanley, Inc., upon default of Vornado Realty Trust, par value of the notional amount of Vornado Realty Trust 5.625% 6/15/07 and pay quarterly notional multiplied by"
40,795422,FIDELITY ADVISOR SERIES II,2003-07-03,edgar/data/795422/0000795422-03-000025.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/795422/0000795422-03-000025.txt,Expiration Date,June 2007
41,795422,FIDELITY ADVISOR SERIES II,2003-07-03,edgar/data/795422/0000795422-03-000025.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/795422/0000795422-03-000025.txt,Notional Amount (000s),"$750,000"
42,795422,FIDELITY ADVISOR SERIES II,2003-07-03,edgar/data/795422/0000795422-03-000025.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/795422/0000795422-03-000025.txt,Unrealized Appreciation/ (Depreciation) (000s),"$2,512"
43,797073,DREYFUS PREMIER FIXED INCOME FUNDS,2003-07-02,edgar/data/797073/0000797073-03-000011.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/797073/0000797073-03-000011.txt,NA,NA
44,813383,DREYFUS VARIABLE INVESTMENT FUND,2003-09-04,edgar/data/813383/0000813383-03-000016.txt,N-CSR/A,https://www.sec.gov/Archives/edgar/data/813383/0000813383-03-000016.txt,NA,NA
45,813383,DREYFUS VARIABLE INVESTMENT FUND,2003-08-19,edgar/data/813383/0000813383-03-000014.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/813383/0000813383-03-000014.txt,NA,NA
46,814679,AMERICAN SKANDIA TRUST,2003-09-05,edgar/data/814679/0000893220-03-001540.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/814679/0000893220-03-001540.txt,NA,NA
47,816754,ACM  INCOME FUND INC,2003-09-09,edgar/data/816754/0000936772-03-000365.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/816754/0000936772-03-000365.txt,NA,NA
48,825316,ALLIANCEBERNSTEIN VARIABLE PRODUCTS SERIES FUND INC,2003-08-29,edgar/data/825316/0000936772-03-000324.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/825316/0000936772-03-000324.txt,NA,NA
49,826737,PHOENIX MULTI PORTFOLIO FUND,2003-08-07,edgar/data/826737/0000935069-03-001044.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/826737/0000935069-03-001044.txt,NA,NA
50,831016,VARIABLE INSURANCE PRODUCTS FUND II,2003-08-29,edgar/data/831016/0000831016-03-000009.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/831016/0000831016-03-000009.txt,CDS Text,"Receive quarterly notional amount multiplied by .87% and pay Merrill Lynch, Inc. upon default of Raytheon Co., par value of the notional amount of Raytheon Co. 5.375%"
51,831016,VARIABLE INSURANCE PRODUCTS FUND II,2003-08-29,edgar/data/831016/0000831016-03-000009.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/831016/0000831016-03-000009.txt,Expiration Date,June 2008
52,831016,VARIABLE INSURANCE PRODUCTS FUND II,2003-08-29,edgar/data/831016/0000831016-03-000009.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/831016/0000831016-03-000009.txt,Notional Amount (000s),"$5,000,000"
53,831016,VARIABLE INSURANCE PRODUCTS FUND II,2003-08-29,edgar/data/831016/0000831016-03-000009.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/831016/0000831016-03-000009.txt,Unrealized Appreciation/ (Depreciation) (000s),"$16,161"
54,831016,VARIABLE INSURANCE PRODUCTS FUND II,2003-08-29,edgar/data/831016/0000831016-03-000009.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/831016/0000831016-03-000009.txt,CDS Text,"Receive quarterly notional amount multiplied by .87% and pay Merrill Lynch, Inc. upon default of Raytheon Co., par value of the notional amount of Raytheon Co. 5.375%"
55,831016,VARIABLE INSURANCE PRODUCTS FUND II,2003-08-29,edgar/data/831016/0000831016-03-000009.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/831016/0000831016-03-000009.txt,Expiration Date,June 2008
56,831016,VARIABLE INSURANCE PRODUCTS FUND II,2003-08-29,edgar/data/831016/0000831016-03-000009.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/831016/0000831016-03-000009.txt,Notional Amount (000s),"$5,000,000"
57,831016,VARIABLE INSURANCE PRODUCTS FUND II,2003-08-29,edgar/data/831016/0000831016-03-000009.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/831016/0000831016-03-000009.txt,Unrealized Appreciation/ (Depreciation) (000s),"$16,161"
58,884122,PHOENIX MULTI SERIES TRUST,2003-07-03,edgar/data/884122/0000935069-03-000884.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/884122/0000935069-03-000884.txt,NA,NA
59,890881,ALLIANCE WORLD DOLLAR GOVERNMENT FUND INC,2003-07-07,edgar/data/890881/0000936772-03-000293.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/890881/0000936772-03-000293.txt,NA,NA
60,927384,VARIABLE INSURANCE PRODUCTS III,2003-08-29,edgar/data/927384/0000927384-03-000012.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/927384/0000927384-03-000012.txt,CDS Text,"Receive quarterly notional amount multiplied by .87% and pay Merrill Lynch, Inc. upon default of Raytheon Co., par value of the notional amount of Raytheon Co. 5.375%"
61,927384,VARIABLE INSURANCE PRODUCTS III,2003-08-29,edgar/data/927384/0000927384-03-000012.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/927384/0000927384-03-000012.txt,Expiration Date,June 2008
62,927384,VARIABLE INSURANCE PRODUCTS III,2003-08-29,edgar/data/927384/0000927384-03-000012.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/927384/0000927384-03-000012.txt,Notional Amount (000s),"$5,000,000"
63,927384,VARIABLE INSURANCE PRODUCTS III,2003-08-29,edgar/data/927384/0000927384-03-000012.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/927384/0000927384-03-000012.txt,Unrealized Appreciation/ (Depreciation) (000s),"$16,161"
64,944684,UBS RELATIONSHIP FUNDS,2003-09-05,edgar/data/944684/0001047469-03-029981.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/944684/0001047469-03-029981.txt,NA,NA
65,1219360,PIMCO HIGH INCOME FUND,2003-12-03,edgar/data/1219360/0001047469-03-039077.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/1219360/0001047469-03-039077.txt,NA,NA
66,205323,FIDELITY COMMONWEALTH TRUST,2003-12-23,edgar/data/205323/0000205323-03-000029.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/205323/0000205323-03-000029.txt,CDS Text,"Receive quarterly notional amount multiplied by .62% and pay Goldman Sachs upon default of SLM Corp., par value of the notional amount of SLM Corp. 1.1106%"
67,205323,FIDELITY COMMONWEALTH TRUST,2003-12-23,edgar/data/205323/0000205323-03-000029.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/205323/0000205323-03-000029.txt,Expiration Date,August 2007
68,205323,FIDELITY COMMONWEALTH TRUST,2003-12-23,edgar/data/205323/0000205323-03-000029.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/205323/0000205323-03-000029.txt,Notional Amount (000s),"$2,450"
69,205323,FIDELITY COMMONWEALTH TRUST,2003-12-23,edgar/data/205323/0000205323-03-000029.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/205323/0000205323-03-000029.txt,Unrealized Appreciation/ (Depreciation) (000s),$22
70,205323,FIDELITY COMMONWEALTH TRUST,2003-12-23,edgar/data/205323/0000205323-03-000029.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/205323/0000205323-03-000029.txt,CDS Text,"Receive quarterly notional amount multiplied by 1.45% and pay Deutsche Bank upon default event of News America, Inc., par value of the notional amount of News America, Inc. 6.625%"
71,205323,FIDELITY COMMONWEALTH TRUST,2003-12-23,edgar/data/205323/0000205323-03-000029.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/205323/0000205323-03-000029.txt,Expiration Date,April 2010
72,205323,FIDELITY COMMONWEALTH TRUST,2003-12-23,edgar/data/205323/0000205323-03-000029.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/205323/0000205323-03-000029.txt,Notional Amount (000s),"$5,000"
73,205323,FIDELITY COMMONWEALTH TRUST,2003-12-23,edgar/data/205323/0000205323-03-000029.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/205323/0000205323-03-000029.txt,Unrealized Appreciation/ (Depreciation) (000s),$199
74,30151,DREYFUS A BONDS PLUS INC,2003-11-24,edgar/data/30151/0000030151-03-000011.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/30151/0000030151-03-000011.txt,NA,NA
75,35315,FIDELITY FIXED INCOME TRUST,2003-12-24,edgar/data/35315/0000035315-03-000015.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000015.txt,CDS Text,"Receive from Morgan Stanley, Inc., upon default of Vornado Realty Trust, par value of the notional amount of Vornado Realty Trust 5.625% 6/15/07, and pay quarterly notional amount multiplied by"
76,35315,FIDELITY FIXED INCOME TRUST,2003-12-24,edgar/data/35315/0000035315-03-000015.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000015.txt,Expiration Date,June 2007
77,35315,FIDELITY FIXED INCOME TRUST,2003-12-24,edgar/data/35315/0000035315-03-000015.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000015.txt,Notional Amount (000s),"$4,475"
78,35315,FIDELITY FIXED INCOME TRUST,2003-12-24,edgar/data/35315/0000035315-03-000015.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000015.txt,Unrealized Appreciation/ (Depreciation) (000s),$(93)
79,35315,FIDELITY FIXED INCOME TRUST,2003-12-24,edgar/data/35315/0000035315-03-000015.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000015.txt,CDS Text,"Receive from Morgan Stanley, Inc., upon default of Vornado Realty Trust, par value of the notional amount of Vornado Realty Trust 5.625% 6/15/07, and pay quarterly notional amount multiplied by"
80,35315,FIDELITY FIXED INCOME TRUST,2003-12-24,edgar/data/35315/0000035315-03-000015.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000015.txt,Expiration Date,June 2007
81,35315,FIDELITY FIXED INCOME TRUST,2003-12-24,edgar/data/35315/0000035315-03-000015.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000015.txt,Notional Amount (000s),"$4,475"
82,35315,FIDELITY FIXED INCOME TRUST,2003-12-24,edgar/data/35315/0000035315-03-000015.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000015.txt,Unrealized Appreciation/ (Depreciation) (000s),$(93)
83,35315,FIDELITY FIXED INCOME TRUST,2003-12-24,edgar/data/35315/0000035315-03-000015.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000015.txt,CDS Text,"Receive from Morgan Stanley, Inc., upon default of Vornado Realty Trust, par value of the notional amount of Vornado Realty Trust 5.625% 6/15/07, and pay quarterly notional amount multiplied by"
84,35315,FIDELITY FIXED INCOME TRUST,2003-12-24,edgar/data/35315/0000035315-03-000015.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000015.txt,Expiration Date,June 2007
85,35315,FIDELITY FIXED INCOME TRUST,2003-12-24,edgar/data/35315/0000035315-03-000015.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000015.txt,Notional Amount (000s),"$4,475"
86,35315,FIDELITY FIXED INCOME TRUST,2003-12-24,edgar/data/35315/0000035315-03-000015.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000015.txt,Unrealized Appreciation/ (Depreciation) (000s),$(93)
87,35315,FIDELITY FIXED INCOME TRUST,2003-12-24,edgar/data/35315/0000035315-03-000015.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000015.txt,CDS Text,"Receive from Morgan Stanley, Inc., upon default of Vornado Realty Trust, par value of the notional amount of Vornado Realty Trust 5.625% 6/15/07, and pay quarterly notional amount multiplied by"
88,35315,FIDELITY FIXED INCOME TRUST,2003-12-24,edgar/data/35315/0000035315-03-000015.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000015.txt,Expiration Date,June 2007
89,35315,FIDELITY FIXED INCOME TRUST,2003-12-24,edgar/data/35315/0000035315-03-000015.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000015.txt,Notional Amount (000s),"$5,575"
90,35315,FIDELITY FIXED INCOME TRUST,2003-12-24,edgar/data/35315/0000035315-03-000015.txt,N-CSRS,https://www.sec.gov/Archives/edgar/data/35315/0000035315-03-000015.txt,Unrealized Appreciation/ (Depreciation) (000s),$(116)
91,354046,FIDELITY CHARLES STREET TRUST,2003-11-26,edgar/data/354046/0000354046-03-000003.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/354046/0000354046-03-000003.txt,CDS Text,"Receive from Morgan Stanley, Inc., upon default of Vornado Realty Trust, par value of the notional amount of Vornado Realty Trust 5.625% 6/15/07, and pay quarterly notional amount multiplied by"
92,354046,FIDELITY CHARLES STREET TRUST,2003-11-26,edgar/data/354046/0000354046-03-000003.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/354046/0000354046-03-000003.txt,Expiration Date,June 2007
93,354046,FIDELITY CHARLES STREET TRUST,2003-11-26,edgar/data/354046/0000354046-03-000003.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/354046/0000354046-03-000003.txt,Notional Amount (000s),$300
94,354046,FIDELITY CHARLES STREET TRUST,2003-11-26,edgar/data/354046/0000354046-03-000003.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/354046/0000354046-03-000003.txt,Unrealized Appreciation/ (Depreciation) (000s),$(6)
95,354046,FIDELITY CHARLES STREET TRUST,2003-11-26,edgar/data/354046/0000354046-03-000003.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/354046/0000354046-03-000003.txt,CDS Text,"Receive from Morgan Stanley, Inc., upon default of Vornado Realty Trust, par value of the notional amount of Vornado Realty Trust 5.625% 6/15/07, and pay quarterly notional amount multiplied by"
96,354046,FIDELITY CHARLES STREET TRUST,2003-11-26,edgar/data/354046/0000354046-03-000003.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/354046/0000354046-03-000003.txt,Expiration Date,June 2007
97,354046,FIDELITY CHARLES STREET TRUST,2003-11-26,edgar/data/354046/0000354046-03-000003.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/354046/0000354046-03-000003.txt,Notional Amount (000s),"$400,000"
98,354046,FIDELITY CHARLES STREET TRUST,2003-11-26,edgar/data/354046/0000354046-03-000003.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/354046/0000354046-03-000003.txt,Unrealized Appreciation/ (Depreciation) (000s),"$(8,570)"
99,354046,FIDELITY CHARLES STREET TRUST,2003-11-26,edgar/data/354046/0000354046-03-000003.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/354046/0000354046-03-000003.txt,CDS Text,"Receive from Morgan Stanley, Inc., upon default of Vornado Realty Trust, par value of the notional amount of Vornado Realty Trust 5.625% 6/15/07, and pay quarterly notional amount multiplied by"
100,354046,FIDELITY CHARLES STREET TRUST,2003-11-26,edgar/data/354046/0000354046-03-000003.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/354046/0000354046-03-000003.txt,Expiration Date,June 2007
101,354046,FIDELITY CHARLES STREET TRUST,2003-11-26,edgar/data/354046/0000354046-03-000003.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/354046/0000354046-03-000003.txt,Notional Amount (000s),"$1,780"
102,354046,FIDELITY CHARLES STREET TRUST,2003-11-26,edgar/data/354046/0000354046-03-000003.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/354046/0000354046-03-000003.txt,Unrealized Appreciation/ (Depreciation) (000s),$(38)
103,354046,FIDELITY CHARLES STREET TRUST,2003-11-26,edgar/data/354046/0000354046-03-000003.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/354046/0000354046-03-000003.txt,CDS Text,"Receive from Morgan Stanley, Inc., upon default of Vornado Realty Trust, par value of the notional amount of Vornado Realty Trust 5.625% 6/15/07, and pay quarterly notional amount multiplied by"
104,354046,FIDELITY CHARLES STREET TRUST,2003-11-26,edgar/data/354046/0000354046-03-000003.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/354046/0000354046-03-000003.txt,Expiration Date,June 2007
105,354046,FIDELITY CHARLES STREET TRUST,2003-11-26,edgar/data/354046/0000354046-03-000003.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/354046/0000354046-03-000003.txt,Notional Amount (000s),"$3,610"
106,354046,FIDELITY CHARLES STREET TRUST,2003-11-26,edgar/data/354046/0000354046-03-000003.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/354046/0000354046-03-000003.txt,Unrealized Appreciation/ (Depreciation) (000s),$(77)
107,741375,MORGAN STANLEY INSTITUTIONAL FUND TRUST,2003-11-28,edgar/data/741375/0001047469-03-038751.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/741375/0001047469-03-038751.txt,NA,NA
108,795422,FIDELITY ADVISOR SERIES II,2003-12-29,edgar/data/795422/0000795422-03-000041.txt,N-CSR,https://www.sec.gov/Archives/edgar/data/795422/0000795422-03-000041.txt,CDS Text,"Receive quarterly notional amount multiplied by .62% and pay Goldman Sachs upon default of SLM Corp., par value of the notional amount of SLM Corp."
